Commissioner Org Name,Treatment Function Name,Commissioner Org Code,Treatment Function Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
Barnsley,all referrals,02P,C_999,2236,1512,1706,1572,1211,1348,1326,1071,1233,1020,967,842,994,981,851,875,582,540,622,483,443,315,363,231,269,211,284,236,240,203,206,152,150,159,130,106,121,106,50,34,89,88,71,59,62,57,50,50,51,32,41,24,30,24,33,28,18,17,19,14,19,12,11,10,15,17,14,22,8,6,14,10,8,7,7,2,3,2,8,3,4,1,7,4,4,4,1,1,0,3,2,1,1,3,1,2,1,1,0,0,0,1,0,0,1
Basildon And Brentwood,all referrals,99E,C_999,2042,1444,1527,1342,1141,1373,1286,1289,1230,1182,1035,1111,1089,988,1096,979,740,710,825,850,754,622,753,413,589,535,522,531,525,488,527,483,431,472,357,337,360,292,201,154,253,288,288,244,272,282,242,257,255,227,220,188,214,217,181,178,146,143,143,146,172,123,102,110,91,94,98,84,84,45,61,39,39,35,38,27,36,10,30,17,15,12,12,5,4,7,0,3,3,2,2,3,1,4,2,0,3,0,0,1,1,1,1,1,3
Bassetlaw,all referrals,02Q,C_999,898,660,673,628,500,530,493,503,526,455,424,445,488,379,394,423,269,244,343,271,270,201,248,133,220,223,174,168,233,174,170,124,152,142,119,112,108,88,44,31,49,62,72,70,56,56,61,56,33,42,48,42,48,39,39,27,12,23,19,24,26,17,18,24,16,11,10,15,13,14,11,15,10,6,7,6,11,5,5,3,1,4,2,1,2,1,6,1,0,0,1,1,0,0,0,3,0,0,1,0,1,0,0,0,1
"Bath And North East Somerset, Swindon And Wiltshire",all referrals,92G,C_999,4364,3615,4297,3972,3033,3367,3494,3021,3312,3131,2920,2943,3025,2660,2708,2463,2088,1841,2107,2043,1940,1344,1578,880,1162,1472,1261,1183,1229,1148,1100,1040,1036,994,947,774,845,761,515,308,604,646,627,647,546,586,465,476,392,447,376,397,336,284,268,223,251,224,188,185,186,171,158,136,131,112,127,104,105,77,96,76,70,47,53,61,36,21,33,22,36,28,26,22,17,12,14,10,5,10,9,0,9,7,12,2,7,2,1,2,1,2,0,0,7
"Bedfordshire, Luton And Milton Keynes",all referrals,M1J4Y,C_999,4951,4463,4719,4742,3466,4108,4048,4005,3998,3857,3675,3685,3653,3697,3545,3293,2965,2358,2854,3056,2810,2091,2314,1780,1966,2035,1929,1900,1968,1843,1708,1662,1425,1567,1464,1452,1266,1184,745,467,1008,1032,944,930,855,793,714,661,619,601,648,586,557,524,470,402,310,364,325,325,321,257,320,289,248,261,229,191,212,131,178,140,114,108,131,97,105,59,59,68,55,49,41,22,34,31,20,20,21,18,12,9,19,14,4,5,7,13,9,4,2,2,1,1,7
Berkshire West,all referrals,15A,C_999,2224,1941,2149,2142,1560,1755,1712,1663,1666,1567,1519,1411,1466,1421,1309,1303,1330,794,929,960,922,641,819,624,551,608,538,589,577,519,544,450,510,420,403,379,352,331,248,128,303,312,266,225,256,233,242,241,200,152,79,124,117,134,99,93,61,83,85,63,55,50,45,54,49,22,38,58,44,30,31,32,17,17,34,20,17,6,2,2,2,3,5,5,2,4,2,0,2,1,0,0,1,2,0,0,1,0,1,1,0,0,1,0,4
"Birmingham, Solihull And West Birmingham",all referrals,15E,C_999,8677,6254,6945,6336,4869,5967,5838,5155,5421,5234,4946,4867,4825,4849,4634,4776,4243,3564,4111,4061,4172,3066,4082,2650,2961,3662,2946,3127,2968,3051,2846,2486,2629,2663,2340,2002,2062,1733,1278,577,1319,1541,1563,1419,1441,1494,1417,1341,1241,1293,1147,1162,1153,1212,1070,1166,967,918,984,885,935,802,904,949,774,795,940,752,803,497,774,664,644,609,588,557,530,404,377,507,439,320,486,314,287,247,237,186,216,201,165,72,114,164,139,147,143,165,166,191,114,89,93,87,167
Black Country,all referrals,D2P2L,C_999,8998,6400,7825,6866,5461,6477,6108,5699,5638,5422,5168,5065,5506,5231,4785,4589,4064,3234,3834,3849,3755,2615,3155,2010,2615,2800,2669,2428,2532,2389,2239,1958,2021,1937,1603,1662,1410,1277,801,460,889,1069,999,943,869,825,814,747,653,601,588,556,448,451,460,380,294,299,302,308,313,258,233,258,226,189,194,203,186,129,156,145,126,109,111,95,100,63,84,68,72,49,47,49,44,40,39,42,23,29,37,6,18,23,27,23,20,25,13,24,4,14,16,9,15
Blackburn With Darwen,all referrals,00Q,C_999,882,761,856,758,550,692,751,671,701,576,679,607,640,598,635,577,430,353,518,425,420,311,370,216,296,280,228,237,243,242,194,199,183,182,153,162,135,93,70,42,101,97,87,84,95,76,71,73,79,66,66,50,45,40,31,41,24,25,28,27,22,18,22,23,14,15,19,18,11,10,17,7,7,8,7,6,6,8,2,3,4,2,6,3,3,4,4,1,6,3,2,2,1,0,1,1,2,2,0,2,0,0,0,1,1
Blackpool,all referrals,00R,C_999,1109,784,943,840,636,713,740,733,712,640,577,620,570,531,496,468,486,272,406,419,430,331,336,212,216,276,248,229,235,255,194,153,184,155,176,134,142,135,90,62,103,105,125,105,104,102,114,88,91,74,59,70,72,66,43,51,33,56,37,63,45,51,37,33,33,32,34,33,17,22,21,23,16,14,16,21,13,12,15,11,15,8,9,8,16,8,13,9,9,3,7,3,1,2,2,0,0,0,1,0,0,0,1,0,6
